wamid,proveedor,direccion,telefono,caso_id,cuerpo,ts
wamid.DEMO000001,whatsapp,entrada,+5716015550101,CAS-0001,[audio 0:02] dictado del paramédico,2026-08-22T19:01:44-05:00
wamid.DEMO000002,whatsapp,salida,+5716015550101,CAS-0001,"PULSO · CAS-0001: sin aceptación aún, el caso pasó al CRUE.",2026-08-22T19:03:19-05:00
wamid.DEMO000003,whatsapp,entrada,+5716015550102,CAS-0002,[audio 0:04] dictado del paramédico,2026-08-22T19:05:10-05:00
wamid.DEMO000004,whatsapp,salida,+5716015550102,CAS-0002,PULSO · CAS-0002: Instituto Nacional de Cancerología ACEPTÓ. ETA 7.6 min.,2026-08-22T19:06:45-05:00
wamid.DEMO000005,whatsapp,entrada,+5716015550103,CAS-0003,[audio 0:06] dictado del paramédico,2026-08-22T19:08:05-05:00
wamid.DEMO000006,whatsapp,salida,+5716015550103,CAS-0003,PULSO · CAS-0003: Hospital de Bosa ACEPTÓ. ETA 1.0 min.,2026-08-22T19:09:40-05:00
wamid.DEMO000007,whatsapp,entrada,+5716015550104,CAS-0004,[audio 0:08] dictado del paramédico,2026-08-22T19:11:40-05:00
wamid.DEMO000008,whatsapp,salida,+5716015550104,CAS-0004,PULSO · CAS-0004: Hospital Occidente de Kennedy ACEPTÓ. ETA 16.1 min.,2026-08-22T19:13:15-05:00
wamid.DEMO000009,whatsapp,entrada,+5716015550105,CAS-0005,[audio 0:01] dictado del paramédico,2026-08-22T19:12:32-05:00
wamid.DEMO000010,whatsapp,salida,+5716015550105,CAS-0005,PULSO · CAS-0005: Clínica Del Occidente S.A. ACEPTÓ. ETA 2.8 min.,2026-08-22T19:14:07-05:00
wamid.DEMO000011,whatsapp,entrada,+5716015550106,CAS-0006,[audio 0:03] dictado del paramédico,2026-08-22T19:19:39-05:00
wamid.DEMO000012,whatsapp,salida,+5716015550106,CAS-0006,PULSO · CAS-0006: Sociedad de Cirugía de Bogotá - Hospital de San José ACEPTÓ. ETA 3.2 min.,2026-08-22T19:21:14-05:00
wamid.DEMO000013,whatsapp,entrada,+5716015550107,CAS-0007,[audio 0:05] dictado del paramédico,2026-08-22T19:23:39-05:00
wamid.DEMO000014,whatsapp,salida,+5716015550107,CAS-0007,PULSO · CAS-0007: Clínica Colsubsidio Ciudad Roma ACEPTÓ. ETA 13.6 min.,2026-08-22T19:25:14-05:00
wamid.DEMO000015,whatsapp,entrada,+5716015550108,CAS-0008,[audio 0:07] dictado del paramédico,2026-08-22T19:31:52-05:00
wamid.DEMO000016,whatsapp,salida,+5716015550108,CAS-0008,PULSO · CAS-0008: Unidad de Servicios de Salud Santa Clara Hospital Universitario ACEPTÓ. ETA 0.7 min.,2026-08-22T19:33:27-05:00
wamid.DEMO000017,whatsapp,entrada,+5716015550109,CAS-0009,[audio 0:09] dictado del paramédico,2026-08-22T19:33:12-05:00
wamid.DEMO000018,whatsapp,salida,+5716015550109,CAS-0009,PULSO · CAS-0009: Clínica Infantil Santa María Del Lago ACEPTÓ. ETA 3.3 min.,2026-08-22T19:34:47-05:00
wamid.DEMO000019,whatsapp,entrada,+5716015550110,CAS-0010,[audio 0:02] dictado del paramédico,2026-08-22T19:38:35-05:00
wamid.DEMO000020,whatsapp,salida,+5716015550110,CAS-0010,PULSO · CAS-0010: Clínica Infantil Santa María Del Lago ACEPTÓ. ETA 4.2 min.,2026-08-22T19:40:10-05:00
wamid.DEMO000021,whatsapp,entrada,+5716015550111,CAS-0011,[audio 0:04] dictado del paramédico,2026-08-22T19:40:35-05:00
wamid.DEMO000022,whatsapp,salida,+5716015550111,CAS-0011,PULSO · CAS-0011: Clínica Infantil Santa María Del Lago ACEPTÓ. ETA 3.0 min.,2026-08-22T19:42:10-05:00
wamid.DEMO000023,whatsapp,entrada,+5716015550112,CAS-0012,[audio 0:06] dictado del paramédico,2026-08-22T19:41:30-05:00
wamid.DEMO000024,whatsapp,salida,+5716015550112,CAS-0012,"PULSO · CAS-0012: sin aceptación aún, el caso pasó al CRUE.",2026-08-22T19:43:05-05:00
wamid.DEMO000025,whatsapp,entrada,+5716015550113,CAS-0013,[audio 0:08] dictado del paramédico,2026-08-22T19:43:06-05:00
wamid.DEMO000026,whatsapp,salida,+5716015550113,CAS-0013,PULSO · CAS-0013: Fundación Hospital Infantil Universitario de San Jose ACEPTÓ. ETA 1.3 min.,2026-08-22T19:44:41-05:00
wamid.DEMO000027,whatsapp,entrada,+5716015550114,CAS-0014,[audio 0:01] dictado del paramédico,2026-08-22T19:51:45-05:00
wamid.DEMO000028,whatsapp,salida,+5716015550114,CAS-0014,PULSO · CAS-0014: Clínica Medical S.A.S. ACEPTÓ. ETA 1.6 min.,2026-08-22T19:53:20-05:00
wamid.DEMO000029,whatsapp,entrada,+5716015550115,CAS-0015,[audio 0:03] dictado del paramédico,2026-08-22T19:55:00-05:00
wamid.DEMO000030,whatsapp,salida,+5716015550115,CAS-0015,PULSO · CAS-0015: Clínica Del Occidente S.A. ACEPTÓ. ETA 5.0 min.,2026-08-22T19:56:35-05:00
wamid.DEMO000031,whatsapp,entrada,+5716015550116,CAS-0016,[audio 0:05] dictado del paramédico,2026-08-22T19:59:15-05:00
wamid.DEMO000032,whatsapp,salida,+5716015550116,CAS-0016,PULSO · CAS-0016: Clínica Del Occidente S.A. ACEPTÓ. ETA 1.7 min.,2026-08-22T20:00:50-05:00
wamid.DEMO000033,whatsapp,entrada,+5716015550117,CAS-0017,[audio 0:07] dictado del paramédico,2026-08-22T20:08:34-05:00
wamid.DEMO000034,whatsapp,salida,+5716015550117,CAS-0017,PULSO · CAS-0017: Unidad de Servicios de Salud Victoria ACEPTÓ. ETA 17.7 min.,2026-08-22T20:10:09-05:00
wamid.DEMO000035,whatsapp,entrada,+5716015550118,CAS-0018,[audio 0:09] dictado del paramédico,2026-08-22T20:11:34-05:00
wamid.DEMO000036,whatsapp,salida,+5716015550118,CAS-0018,PULSO · CAS-0018: Clínica Del Occidente S.A. ACEPTÓ. ETA 5.4 min.,2026-08-22T20:13:09-05:00
wamid.DEMO000037,whatsapp,entrada,+5716015550119,CAS-0019,[audio 0:02] dictado del paramédico,2026-08-22T20:13:38-05:00
wamid.DEMO000038,whatsapp,salida,+5716015550119,CAS-0019,PULSO · CAS-0019: Hospital de Bosa ACEPTÓ. ETA 1.6 min.,2026-08-22T20:15:13-05:00
wamid.DEMO000039,whatsapp,entrada,+5716015550120,CAS-0020,[audio 0:04] dictado del paramédico,2026-08-22T20:15:53-05:00
wamid.DEMO000040,whatsapp,salida,+5716015550120,CAS-0020,"PULSO · CAS-0020: sin aceptación aún, el caso pasó al CRUE.",2026-08-22T20:17:28-05:00
wamid.DEMO000041,whatsapp,entrada,+5716015550121,CAS-0021,[audio 0:06] dictado del paramédico,2026-08-22T20:21:12-05:00
