movil_id,tipo,operador,placa,base_localidad,tripulacion,disponible,turno
AMB-001,TAM,AEROMAS SAS,WGX100,Chapinero,Aurelia Dorado / Néstor Cifuentes,false,noche
AMB-002,TAM,AMBULANCIAS AEREAS DE COLOMBIA S.A.S.,WGX101,Los Mártires,Bernardo Lozano / Olga Jaramillo,true,noche
AMB-003,TAM,AMBULANCIAS PRIMEROS AUXILIOS LTDA,WGX102,Usaquén,Cecilia Sarmiento / Prudencio Rincón,true,noche
AMB-004,TAM,AMBULANCIAS PRIMEROS AUXILIOS LTDA,WGX103,Chapinero,Damián Bermúdez / Quintina Aristizábal,true,noche
AMB-005,TAM,AMBULANCIAS Y SERVICIOS MEDICOS S A,WGX104,Teusaquillo,Elvira Izquierdo / Rosalba Hurtado,false,noche
AMB-006,TAM,AMBULANCIAS Y SERVICIOS MEDICOS S A,WGX105,Teusaquillo,Fabián Quiroga / Saúl Peñaloza,true,noche
AMB-007,TAM,Ambulife sas,WGX106,Chapinero,Gladys Zambrano / Teodora Yepes,true,noche
AMB-008,TAM,Ambulife sas,WGX107,Kennedy,Horacio Guarnizo / Ulises Fandiño,true,noche
AMB-009,TAM,AMBU-SANAR S.A.S SIGLA AMBUSAS,WGX108,Fontibón,Irene Ocampo / Vilma Nempeque,false,noche
AMB-010,TAM,AMBU-SANAR S.A.S SIGLA AMBUSAS,WGX109,Antonio Nariño,Joaquín Valbuena / Wilmar Umaña,true,noche
AMB-011,TAM,APPSEMI S.A.S,WGX110,Rafael Uribe Uribe,Karina Escalante / Ximena Dorado,true,noche
AMB-012,TAM,APPSEMI S.A.S,WGX111,Engativá,Leonel Mahecha / Yolanda Lozano,true,noche
AMB-013,TAB,333 ASISTENCIAS MEDICAS SAS SIGLA 333 AM,WGX112,Tunjuelito,Marcela Tibaquirá / Zacarías Sarmiento,false,noche
AMB-014,TAB,aerosanidad sas,WGX113,Usme,Néstor Cifuentes / Aurelia Bermúdez,true,noche
AMB-015,TAB,Alianza Codigo Rojo IPS SAS,WGX114,Kennedy,Olga Jaramillo / Bernardo Izquierdo,true,noche
